Rowid_,VALUE,COUNT,AREA,LAT1,LAT2
,82,"43,200",0.010166957900000,-89.325000000000003,-89.316666999999995
,83,"43,200",0.010291699900000,-89.316666999999995,-89.308333000000005
,84,"43,200",0.010416441700000,-89.308333000000005,-89.299999999999997
,85,"43,200",0.010541183300000,-89.299999999999997,-89.291667000000004
,86,"43,200",0.010665924600000,-89.291667000000004,-89.283332999999999
,87,"43,200",0.010790665700000,-89.283332999999999,-89.275000000000006
,88,"43,200",0.010915406600000,-89.275000000000006,-89.266666999999998
,89,"43,200",0.011040147300000,-89.266666999999998,-89.258332999999993
,90,"43,200",0.011164887700000,-89.258332999999993,-89.250000000000000
,91,"43,200",0.011289627900000,-89.250000000000000,-89.241667000000007
,92,"43,200",0.011414367800000,-89.241667000000007,-89.233333000000002
,93,"43,200",0.011539107500000,-89.233333000000002,-89.224999999999994
